,Year,Club,Name,Pos,Base Salary,Guaranteed Compensation
172,2008,LA,Bryan Jordan,F,12900.0,12900.0
173,2008,NE,Shalrie Joseph,M,300000.0,325000.0
174,2008,CLB,George Josten,F,12900.0,12900.0
175,2008,RSL,Ian Joy,D,120000.0,120000.0
176,2008,CLB,Ryan Junge,D,12900.0,12900.0
177,2008,HOU,Kei Kamara,F,47850.0,57850.0
178,2008,NY,Macoumba Kandji,F,36000.0,56988.37
179,2008,POOL,Andrew Kartunen,GK,12900.0,12900.0
180,2008,CHI,Kai Kasiguran,F,12900.0,12900.0
181,2008,COL,Stephen Keel,D,17700.0,17700.0
182,2008,CHV,Dan Kennedy,GK,33000.0,33000.0
183,2008,CHI,Tyler Kettering,GK,12900.0,12900.0
184,2008,DC,Thabiso Khumalo,F,33000.0,33000.0
185,2008,COL,Kosuke Kimura,D,17700.0,17700.0
186,2008,RSL,Dustin Kirby,D,17700.0,17700.0
187,2008,DC,Quavas Kirk,M,100000.0,136500.0
188,2008,SJ,Jovan Kirovski,F,220000.0,220000.0
189,2008,LA,Chris Klein,D,150000.0,150000.0
190,2008,NY,Gordon Kljestan,M,12900.0,12900.0
191,2008,CHV,Sacha Kljestan,M,95000.0,128000.0
192,2008,NE,Brad Knighton,GK,17700.0,17700.0
193,2008,DC,Ibrahim Koroma,D,17700.0,17700.0
194,2008,RSL,Dema Kovalenko,M,200000.0,207618.75
195,2008,HOU,Guy Kpene,F,12900.0,12900.0
196,2008,KC,Michael Kraus,M,12900.0,12900.0
197,2008,KC,Eric Kronberg,GK,33000.0,33000.0
198,2008,COL,Nick LaBrocca,M,12900.0,12900.0
199,2008,DAL,Josh Lambo,GK,45000.0,78000.0
200,2008,SEA,Sebastian Le Toux,M,84000.0,96000.0
201,2008,KC,Jonathan Leathers,D,17700.0,17700.0
202,2008,NY,Chris Leitch,D,60000.0,60000.0
203,2008,CLB,Steven Lenhart,F,12900.0,12900.0
204,2008,LA,Eddie Lewis,M,108000.0,113714.29
205,2008,SJ,Francisco Lima,M,195000.0,207000.0
206,2008,KC,Claudio Lopez,F,720000.0,820000.0
207,2008,CHI,Peter Lowry,M,12900.0,12900.0
208,2008,NY,Mike Magee,F,64637.19,65637.19
209,2008,NE,Abdoulie Mansally,F,33000.0,33000.0
210,2008,NE,Brandon Manzonelli,M,12900.0,12900.0
211,2008,CHI,Justin Mapp,M,165000.0,200000.0
212,2008,KC,Carlos Marinelli,M,115000.0,115000.0
213,2008,CHI,Lidor Marmol,M,96000.0,109750.0
214,2008,KC,Matt Marquess,D,12900.0,12900.0
215,2008,CHV,Jesse Marsch,M,150000.0,159375.0
216,2008,CLB,Chad Marshall,D,125000.0,148000.0
217,2008,TFC,Tyrone Marshall,D,150000.0,153750.0
218,2008,DC,Gonzalo Martinez,D,228000.0,244750.0
219,2008,COL,Pablo Mastroeni,M,300000.0,318000.0
220,2008,RSL,Clint Mathis,M,99999.96,99999.96
221,2008,CHV,Gerson Mayen,M,12900.0,12900.0
222,2008,NY,Andongcho M'Buta,M,12900.0,12900.0
223,2008,CHI,Brian McBride,F,163999.92,189333.25
224,2008,DAL,Dax McCarty,M,45500.0,58000.0
225,2008,LA,Brandon McDonald,M,17700.0,17700.0
226,2008,COL,Tom McManus,F,134400.0,140462.5
