,Club,Last Name,First Name,Pos,Base Salary,Guaranteed Compensation,Year
460,TFC,Sturgis,Nathan,D-M,85000.0,89250.0,2011
461,NY,Sutton,Greg,GK,75600.0,80100.0,2011
462,VAN,Sylvestre,Brian,GK,32600.04,32600.04,2011
463,NY,Tainio,Teemu,M,159996.0,164996.0,2011
464,PHI,Tait,Joe,D,42000.0,42000.0,2011
465,VAN,Tan,Long,F,32600.04,32600.04,2011
466,HOU,Taylor,Jermaine,D,57500.0,62500.0,2011
467,POR,Taylor,Christopher,D,32600.04,32600.04,2011
468,CLB,Tchani,Tony,M,90000.0,194000.0,2011
469,VAN,Teibert,Russell,M,50004.0,55604.0,2011
470,SEA,Tetteh,Michael,M,60000.0,77663.06,2011
471,KC,Thomas,Shavar,D,160000.0,174375.0,2011
472,LA,Thomas,Ryan,D,32604.0,32604.0,2011
473,COL,Thompson,Wells,M,77500.0,85625.0,2011
474,POR,Thompson,Spencer,F,32604.0,32604.0,2011
475,CHV,Thornton,Zach,GK,155000.0,162500.0,2011
476,VAN,Thorrington,John,M,194700.0,207200.0,2011
477,NE,Tierney,Chris,D-M,65000.0,66666.67,2011
478,RSL,Toia,Donny,F,45000.0,60000.0,2011
479,DAL,Top,Jonathan,F,42000.0,42000.0,2011
480,PHI,Torres,Roger,M,105600.0,108725.0,2011
481,CHV,Trujillo,Mariano,M,99225.0,99225.0,2011
482,DAL,Ulloa,Victor,M,42000.0,44500.0,2011
483,CHV,Umana,Michael,D,138000.0,145500.0,2011
484,POR,Umony,Brian,F,65004.0,85004.0,2011
485,VAN,Vagenas,Peter,M,48000.0,48000.0,2011
486,PHI,Valdes,Carlos,D,180000.0,180000.0,2011
487,CHV,Valentin,Zarek,D,80000.0,132000.0,2011
488,CLB,Veeder,Korey,D,32600.0,34475.0,2011
489,TFC,Viator,Eddy,D,90000.0,101875.0,2011
490,CHI,Videira,Michael,M,42000.0,42625.0,2011
491,DAL,Villar,Ricardo,M,150000.0,150000.0,2011
492,VAN,Wagner,Blake,D,42000.0,42000.0,2011
493,SEA,Wahl,Tyson,D,51870.0,54770.0,2011
494,COL,Wallace,Anthony,D-M,60375.0,60375.0,2011
495,POR,Wallace,Rodney,M-D,90000.0,139000.0,2011
496,SJ,Ward,Tim,D,60500.0,60500.0,2011
497,RSL,Warner,Collen,M-F,42000.0,55750.0,2011
498,DAL,Warshaw,Bobby,D,42000.0,53250.0,2011
499,KC,Warzycha,Konrad,M,32604.0,32604.0,2011
500,HOU,Watson,Je-Vaughn,M,75000.0,91875.0,2011
501,CHI,Watson-Siriboe,Kwame,D,44000.0,44000.0,2011
502,HOU,Weaver,Cam,F,89250.0,97500.0,2011
503,SJ,Weber,Andrew,GK,65004.0,65004.0,2011
504,DC,White,Ethan,D,55000.0,71000.0,2011
505,SEA,White,O'Brian,F,100000.0,100000.0,2011
506,DAL,Wiedeman,Andrew,F,75000.0,118000.0,2011
507,CLB,Williams,Josh,D,42000.0,42000.0,2011
508,PHI,Williams,Sheanon,F,42000.0,42000.0,2011
509,RSL,Williams,Andy,M,99225.0,99225.0,2011
510,TFC,Williams,Dicoy,D,50004.0,50004.0,2011
511,DC,Willis,Joe,GK,42000.0,42000.0,2011
512,RSL,Wingert,Chris,D,135000.0,135000.0,2011
513,DC,Wolff,Josh,F,160000.0,160000.0,2011
514,SJ,Wondolowski,Chris,M,175000.0,175000.0,2011
515,DC,Woolard,Daniel,D,50000.0,50000.0,2011
516,COL,Wynne,Marvell,D,225000.0,301666.67,2011
517,TFC,Yourassowsky,Mikael,D,80004.0,81670.67,2011
518,SEA,Zakuani,Steve,F,90000.0,188000.0,2011
519,TFC,Zavarise,Gianluca,M,42000.0,46517.75,2011
520,DC,Zayner,Jed,D,66500.0,70375.0,2011
521,CHV,Zemanski,Ben,M,44000.0,44000.0,2011
522,NE,Zerka,Monsef,M-F,216000.0,226000.0,2011
523,POR,Zizzo,Sal,F,65000.0,73250.0,2011
524,SJ,Zura,Edmundo,F,48000.0,48000.0,2011
525,KC,Zusi,Graham,F-M,42000.0,42000.0,2011
